dmel_cre_id	dazt	d_affinis	dmir	dper	pattern_class	tier	discordant_species	discordant_state	consensus_state	n_consensus_species	group_name	group_species	n_group_species
DMEL_CRE_00185	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00187	present	present	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00188	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00189	present	present	present	present	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00190	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00191	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00192	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00193	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00194	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00196	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00197	turnover_candidate	present	no_detected_CRE	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00198	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00199	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00200	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00202	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00203	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00204	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00205	present	present	present	present	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00207	no_detected_CRE	present	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00208	no_detected_CRE	turnover_candidate	no_detected_CRE	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00210	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00211	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00212	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00213	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00214	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00215	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
DMEL_CRE_00216	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	azteca_affinis_miranda_group	dazt|d_affinis|dmir|dper	4
