dmel_cre_id	dsub	dbif	dobs	pattern_class	tier	discordant_species	discordant_state	consensus_state	n_consensus_species	group_name	group_species	n_group_species
DMEL_CRE_00072	uncertain	turnover_candidate	present	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00073	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00074	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00075	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00076	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00077	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00079	no_detected_CRE	uncertain	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00080	no_detected_CRE	present	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00083	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00084	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00085	no_detected_CRE	turnover_candidate	present	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00088	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00089	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00090	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00092	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00094	present	present	present	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00095	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00097	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00099	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00101	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00105	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00106	present	turnover_candidate	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00107	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00108	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
