dmel_cre_id	scenario	n_focal_tier1_clades	focal_tier1_clades	n_secondary_only_tier1_clades	secondary_only_tier1_clades	n_total_tier1_clades	candidate_priority	candidate_retained	primary_candidate_priority	same_priority_as_primary
DMEL_CRE_00306	ov075_dist48000	0		0		0	not_tier1_candidate	no	focal_single	no
DMEL_CRE_00003	ov025_dist12000	0		1	obscura_group	1	secondary_single	yes	secondary_single	yes
DMEL_CRE_00003	ov025_dist24000	0		1	obscura_group	1	secondary_single	yes	secondary_single	yes
DMEL_CRE_00003	ov025_dist48000	0		1	obscura_group	1	secondary_single	yes	secondary_single	yes
DMEL_CRE_00003	ov050_dist12000	0		1	obscura_group	1	secondary_single	yes	secondary_single	yes
DMEL_CRE_00003	ov050_dist24000	0		1	obscura_group	1	secondary_single	yes	secondary_single	yes
DMEL_CRE_00003	ov050_dist48000	0		1	obscura_group	1	secondary_single	yes	secondary_single	yes
DMEL_CRE_00003	ov075_dist12000	0		1	obscura_group	1	secondary_single	yes	secondary_single	yes
DMEL_CRE_00003	ov075_dist24000	0		1	obscura_group	1	secondary_single	yes	secondary_single	yes
DMEL_CRE_00003	ov075_dist48000	0		1	obscura_group	1	secondary_single	yes	secondary_single	yes
DMEL_CRE_00004	ov025_dist12000	0		1	rufa_group	1	secondary_single	yes	secondary_single	yes
DMEL_CRE_00004	ov025_dist24000	0		1	rufa_group	1	secondary_single	yes	secondary_single	yes
DMEL_CRE_00004	ov025_dist48000	0		1	rufa_group	1	secondary_single	yes	secondary_single	yes
DMEL_CRE_00004	ov050_dist12000	0		1	rufa_group	1	secondary_single	yes	secondary_single	yes
DMEL_CRE_00004	ov050_dist24000	0		1	rufa_group	1	secondary_single	yes	secondary_single	yes
DMEL_CRE_00004	ov050_dist48000	0		1	rufa_group	1	secondary_single	yes	secondary_single	yes
DMEL_CRE_00004	ov075_dist12000	0		1	rufa_group	1	secondary_single	yes	secondary_single	yes
DMEL_CRE_00004	ov075_dist24000	0		1	rufa_group	1	secondary_single	yes	secondary_single	yes
DMEL_CRE_00004	ov075_dist48000	0		1	rufa_group	1	secondary_single	yes	secondary_single	yes
DMEL_CRE_00019	ov025_dist12000	0		1	teissieri_group	1	secondary_single	yes	secondary_single	yes
DMEL_CRE_00019	ov025_dist24000	0		1	teissieri_group	1	secondary_single	yes	secondary_single	yes
DMEL_CRE_00019	ov025_dist48000	0		1	teissieri_group	1	secondary_single	yes	secondary_single	yes
DMEL_CRE_00019	ov050_dist12000	0		1	teissieri_group	1	secondary_single	yes	secondary_single	yes
DMEL_CRE_00019	ov050_dist24000	0		1	teissieri_group	1	secondary_single	yes	secondary_single	yes
DMEL_CRE_00019	ov050_dist48000	0		1	teissieri_group	1	secondary_single	yes	secondary_single	yes
DMEL_CRE_00019	ov075_dist12000	0		1	teissieri_group	1	secondary_single	yes	secondary_single	yes
DMEL_CRE_00019	ov075_dist24000	0		1	teissieri_group	1	secondary_single	yes	secondary_single	yes
DMEL_CRE_00019	ov075_dist48000	0		1	teissieri_group	1	secondary_single	yes	secondary_single	yes
DMEL_CRE_00021	ov025_dist12000	0		1	teissieri_group	1	secondary_single	yes	secondary_single	yes
DMEL_CRE_00021	ov025_dist24000	0		1	teissieri_group	1	secondary_single	yes	secondary_single	yes
DMEL_CRE_00021	ov025_dist48000	0		1	teissieri_group	1	secondary_single	yes	secondary_single	yes
